Model,TBS1102C
Firmware Version,v1.29.30

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0004,
Sample Interval,3.2e-07,
Filter Frequency,2e+08,
Record Length,20000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,,
TIME,CH1,CH2
-3.1373e-03,-1.36,0.856406
-3.1370e-03,-1.36094,0.856406
-3.1366e-03,-1.37,0.872969
-3.1363e-03,-1.36,0.859063
-3.1360e-03,-1.36047,0.887188
-3.1357e-03,-1.35078,0.871875
-3.1354e-03,-1.35078,0.868594
-3.1350e-03,-1.35344,0.896406
-3.1347e-03,-1.34609,0.881719
-3.1344e-03,-1.34172,0.869531
-3.1341e-03,-1.32734,0.897813
-3.1338e-03,-1.33438,0.875469
-3.1334e-03,-1.32125,0.891094
-3.1331e-03,-1.3175,0.898125
-3.1328e-03,-1.31516,0.898125
-3.1325e-03,-1.31766,0.910781
-3.1322e-03,-1.30625,0.914687
-3.1318e-03,-1.28844,0.908438
-3.1315e-03,-1.29672,0.912656
-3.1312e-03,-1.29234,0.912344
-3.1309e-03,-1.28125,0.897656
-3.1306e-03,-1.29266,0.932188
-3.1302e-03,-1.27391,0.932031
-3.1299e-03,-1.27859,0.913594
-3.1296e-03,-1.275,0.931406
-3.1293e-03,-1.27156,0.940312
-3.1290e-03,-1.26438,0.931875
-3.1286e-03,-1.26109,0.93875
-3.1283e-03,-1.26203,0.954844
-3.1280e-03,-1.24422,0.945
-3.1277e-03,-1.24687,0.970313
-3.1274e-03,-1.24641,0.960938
-3.1270e-03,-1.26406,0.95375
-3.1267e-03,-1.24188,0.963281
-3.1264e-03,-1.23844,0.967813
-3.1261e-03,-1.23125,0.975625
-3.1258e-03,-1.22625,0.996406
-3.1254e-03,-1.20844,0.984375
-3.1251e-03,-1.21078,0.994688
-3.1248e-03,-1.20813,0.985
-3.1245e-03,-1.20703,0.976562
-3.1242e-03,-1.20422,0.990156
-3.1238e-03,-1.19406,1.01422
-3.1235e-03,-1.18734,0.991406
-3.1232e-03,-1.17734,1.00375
-3.1229e-03,-1.18391,1.01984
-3.1226e-03,-1.18016,1.01125
-3.1222e-03,-1.16688,1.02672
-3.1219e-03,-1.17734,1.0325
-3.1216e-03,-1.16891,1.03297
-3.1213e-03,-1.15938,1.0325
-3.1210e-03,-1.15609,1.03156
-3.1206e-03,-1.15828,1.03078
-3.1203e-03,-1.15094,1.04375
-3.1200e-03,-1.14906,1.05094
-3.1197e-03,-1.13703,1.03797
-3.1194e-03,-1.14469,1.06469
-3.1190e-03,-1.1275,1.04578
-3.1187e-03,-1.12891,1.04422
-3.1184e-03,-1.12516,1.06703
-3.1181e-03,-1.12609,1.05703
-3.1178e-03,-1.12328,1.06297
-3.1174e-03,-1.11156,1.08047
-3.1171e-03,-1.1125,1.08125
-3.1168e-03,-1.10531,1.07641
-3.1165e-03,-1.10688,1.08422
-3.1162e-03,-1.09438,1.09141
-3.1158e-03,-1.08453,1.09016
-3.1155e-03,-1.07937,1.10969
-3.1152e-03,-1.08,1.09078
-3.1149e-03,-1.07828,1.11938
-3.1146e-03,-1.07391,1.11484
-3.1142e-03,-1.06937,1.11234
-3.1139e-03,-1.05047,1.13172
-3.1136e-03,-1.06016,1.12469
-3.1133e-03,-1.06016,1.11187
-3.1130e-03,-1.04422,1.13297
-3.1126e-03,-1.04422,1.14406
-3.1123e-03,-1.03891,1.13234
-3.1120e-03,-1.03906,1.14266
-3.1117e-03,-1.04563,1.14563
-3.1114e-03,-1.03891,1.14797
-3.1110e-03,-1.02953,1.16109
-3.1107e-03,-1.02625,1.17094
-3.1104e-03,-1.02375,1.15563
-3.1101e-03,-1.00625,1.17516
-3.1098e-03,-1.00375,1.17344
-3.1094e-03,-1.00203,1.18719
-3.1091e-03,-0.999531,1.18406
-3.1088e-03,-1.00516,1.17453
-3.1085e-03,-0.995313,1.18453
-3.1082e-03,-0.991563,1.20094
-3.1078e-03,-0.994688,1.18813
-3.1075e-03,-0.98875,1.19328
-3.1072e-03,-0.968125,1.215
-3.1069e-03,-0.965625,1.20422
-3.1066e-03,-0.965156,1.20922
-3.1062e-03,-0.964219,1.2325
-3.1059e-03,-0.960469,1.21516
-3.1056e-03,-0.962813,1.23
-3.1053e-03,-0.964063,1.24328
-3.1050e-03,-0.964375,1.22156
-3.1046e-03,-0.953125,1.23938
-3.1043e-03,-0.95,1.27219
-3.1040e-03,-0.947813,1.235
-3.1037e-03,-0.935469,1.26063
-3.1034e-03,-0.925625,1.28734
-3.1030e-03,-0.944531,1.26016
-3.1027e-03,-0.925937,1.28641
-3.1024e-03,-0.916875,1.27922
-3.1021e-03,-0.914687,1.25938
-3.1018e-03,-0.904062,1.29953
-3.1014e-03,-0.8975,1.30281
-3.1011e-03,-0.898438,1.27844
-3.1008e-03,-0.886563,1.30734
-3.1005e-03,-0.899687,1.30172
-3.1002e-03,-0.891719,1.30703
-3.0998e-03,-0.885156,1.31828
-3.0995e-03,-0.891875,1.33094
-3.0992e-03,-0.890469,1.32219
-3.0989e-03,-0.880469,1.34125
-3.0986e-03,-0.889844,1.33406
-3.0982e-03,-0.8725,1.32563
-3.0979e-03,-0.867188,1.35344
-3.0976e-03,-0.86125,1.34203
-3.0973e-03,-0.871719,1.34937
-3.0970e-03,-0.867031,1.37453
-3.0966e-03,-0.848125,1.35578
-3.0963e-03,-0.864063,1.36734
-3.0960e-03,-0.846562,1.38734
-3.0957e-03,-0.842812,1.38828
-3.0954e-03,-0.835313,1.38344
-3.0950e-03,-0.843438,1.40297
-3.0947e-03,-0.837031,1.38719
-3.0944e-03,-0.829688,1.395
-3.0941e-03,-0.820469,1.41984
-3.0938e-03,-0.822656,1.40391
-3.0934e-03,-0.818281,1.43297
-3.0931e-03,-0.803594,1.42437
-3.0928e-03,-0.819063,1.41766
-3.0925e-03,-0.8075,1.42453
-3.0922e-03,-0.817969,1.44328
-3.0918e-03,-0.801875,1.435
-3.0915e-03,-0.791563,1.45781
-3.0912e-03,-0.793438,1.45687
-3.0909e-03,-0.797344,1.44594
-3.0906e-03,-0.784687,1.47656
-3.0902e-03,-0.772031,1.45938
-3.0899e-03,-0.78625,1.4675
-3.0896e-03,-0.764844,1.49094
-3.0893e-03,-0.774062,1.49188
-3.0890e-03,-0.765938,1.48016
-3.0886e-03,-0.777031,1.49953
-3.0883e-03,-0.758281,1.48656
-3.0880e-03,-0.75625,1.49938
-3.0877e-03,-0.762188,1.51828
-3.0874e-03,-0.754844,1.52219
-3.0870e-03,-0.740156,1.5125
-3.0867e-03,-0.737344,1.53313
-3.0864e-03,-0.721719,1.5225
-3.0861e-03,-0.725625,1.54063
-3.0858e-03,-0.731719,1.54328
-3.0854e-03,-0.750469,1.54344
-3.0851e-03,-0.720156,1.5575
-3.0848e-03,-0.72125,1.55344
-3.0845e-03,-0.722031,1.54391
-3.0842e-03,-0.725156,1.54438
-3.0838e-03,-0.716406,1.57375
-3.0835e-03,-0.717656,1.56719
-3.0832e-03,-0.715781,1.58156
-3.0829e-03,-0.708906,1.58969
-3.0826e-03,-0.71,1.58344
-3.0822e-03,-0.7075,1.59797
-3.0819e-03,-0.698438,1.60187
-3.0816e-03,-0.690625,1.58937
-3.0813e-03,-0.701094,1.61328
-3.0810e-03,-0.696562,1.62141
-3.0806e-03,-0.68375,1.62172
-3.0803e-03,-0.689375,1.63297
-3.0800e-03,-0.673594,1.65422
-3.0797e-03,-0.674687,1.62422
-3.0794e-03,-0.672031,1.66156
-3.0790e-03,-0.6625,1.665
-3.0787e-03,-0.659844,1.63953
-3.0784e-03,-0.659844,1.65359
-3.0781e-03,-0.646719,1.66406
-3.0778e-03,-0.647344,1.66766
-3.0774e-03,-0.645,1.68437
-3.0771e-03,-0.639531,1.69234
-3.0768e-03,-0.639531,1.69234
-3.0765e-03,-0.64,1.69781
-3.0762e-03,-0.639531,1.68531
-3.0758e-03,-0.631875,1.68813
-3.0755e-03,-0.623437,1.72687
-3.0752e-03,-0.614063,1.72313
-3.0749e-03,-0.615781,1.72
-3.0746e-03,-0.616719,1.74219
-3.0742e-03,-0.61,1.72656
-3.0739e-03,-0.616563,1.75625
-3.0736e-03,-0.617031,1.75156
-3.0733e-03,-0.610781,1.74109
-3.0730e-03,-0.614063,1.76859
-3.0726e-03,-0.613281,1.77313
-3.0723e-03,-0.599375,1.76547
-3.0720e-03,-0.594219,1.78609
-3.0717e-03,-0.605156,1.79781
-3.0714e-03,-0.585469,1.78719
-3.0710e-03,-0.586875,1.80156
-3.0707e-03,-0.579844,1.79844
-3.0704e-03,-0.574844,1.79969
-3.0701e-03,-0.579063,1.81266
-3.0698e-03,-0.569844,1.82734
-3.0694e-03,-0.560937,1.8175
-3.0691e-03,-0.573594,1.84234
-3.0688e-03,-0.556719,1.83922
-3.0685e-03,-0.558281,1.83391
-3.0682e-03,-0.555781,1.8625
-3.0678e-03,-0.554688,1.85344
-3.0675e-03,-0.557188,1.855
-3.0672e-03,-0.557188,1.86969
-3.0669e-03,-0.550937,1.87922
-3.0666e-03,-0.55,1.88469
-3.0662e-03,-0.551875,1.89328
-3.0659e-03,-0.533125,1.88797
-3.0656e-03,-0.534062,1.9025
-3.0653e-03,-0.529219,1.91391
-3.0650e-03,-0.525156,1.90656
-3.0646e-03,-0.518594,1.91094
-3.0643e-03,-0.515938,1.93094
-3.0640e-03,-0.518125,1.92234
-3.0637e-03,-0.504687,1.95297
-3.0634e-03,-0.507656,1.95859
-3.0630e-03,-0.511875,1.94047
-3.0627e-03,-0.505781,1.94531
-3.0624e-03,-0.487656,1.97234
-3.0621e-03,-0.495312,1.96781
-3.0618e-03,-0.484687,1.97359
-3.0614e-03,-0.49125,1.99203
-3.0611e-03,-0.482031,1.97969
-3.0608e-03,-0.485156,2.0125
-3.0605e-03,-0.490625,2.0075
-3.0602e-03,-0.490156,2.00125
-3.0598e-03,-0.488438,2.03234
-3.0595e-03,-0.477031,2.02453
-3.0592e-03,-0.476562,2.01438
-3.0589e-03,-0.468281,2.05031
-3.0586e-03,-0.451875,2.04172
-3.0582e-03,-0.458594,2.04516
-3.0579e-03,-0.465625,2.06969
-3.0576e-03,-0.448906,2.06062
-3.0573e-03,-0.44625,2.06578
-3.0570e-03,-0.442188,2.08484
-3.0566e-03,-0.44,2.09141
-3.0563e-03,-0.442969,2.07891
-3.0560e-03,-0.440156,2.10484
-3.0557e-03,-0.439375,2.09219
-3.0554e-03,-0.446406,2.10234
-3.0550e-03,-0.433438,2.10984
-3.0547e-03,-0.439375,2.11437
-3.0544e-03,-0.4225,2.12594
-3.0541e-03,-0.42,2.14312
-3.0538e-03,-0.4175,2.13781
-3.0534e-03,-0.429375,2.14547
-3.0531e-03,-0.406562,2.16594
-3.0528e-03,-0.405781,2.14328
-3.0525e-03,-0.400625,2.17016
-3.0522e-03,-0.404531,2.18031
-3.0518e-03,-0.406719,2.17297
-3.0515e-03,-0.414219,2.18859
-3.0512e-03,-0.403281,2.20156
-3.0509e-03,-0.400938,2.19047
-3.0506e-03,-0.393125,2.21141
-3.0502e-03,-0.389844,2.21875
-3.0499e-03,-0.36875,2.20188
-3.0496e-03,-0.370156,2.23813
-3.0493e-03,-0.369375,2.22641
-3.0490e-03,-0.364219,2.22828
-3.0486e-03,-0.36625,2.24375
-3.0483e-03,-0.365781,2.23672
-3.0480e-03,-0.376563,2.23516
-3.0477e-03,-0.360625,2.26547
-3.0474e-03,-0.361406,2.26406
-3.0470e-03,-0.355313,2.28047
-3.0467e-03,-0.362344,2.285
-3.0464e-03,-0.360156,2.28203
-3.0461e-03,-0.355781,2.28734
-3.0458e-03,-0.351562,2.31078
-3.0454e-03,-0.34625,2.30656
-3.0451e-03,-0.340469,2.30531
-3.0448e-03,-0.339219,2.32531
-3.0445e-03,-0.348125,2.32
-3.0442e-03,-0.338438,2.33875
-3.0438e-03,-0.335469,2.34016
-3.0435e-03,-0.330625,2.33937
-3.0432e-03,-0.317812,2.34469
-3.0429e-03,-0.326875,2.36609
-3.0426e-03,-0.317656,2.35031
-3.0422e-03,-0.315312,2.37516
-3.0419e-03,-0.308594,2.37562
-3.0416e-03,-0.307344,2.38203
-3.0413e-03,-0.308281,2.40031
-3.0410e-03,-0.310312,2.40437
-3.0406e-03,-0.302344,2.39359
-3.0403e-03,-0.291719,2.42875
-3.0400e-03,-0.30625,2.42672
-3.0397e-03,-0.302187,2.42531
-3.0394e-03,-0.29125,2.44016
-3.0390e-03,-0.287187,2.43156
-3.0387e-03,-0.288125,2.43422
-3.0384e-03,-0.282813,2.47
-3.0381e-03,-0.274375,2.43906
-3.0378e-03,-0.283594,2.44719
-3.0374e-03,-0.272031,2.47938
-3.0371e-03,-0.269688,2.4675
-3.0368e-03,-0.267813,2.48031
-3.0365e-03,-0.263281,2.48922
-3.0362e-03,-0.256406,2.47781
-3.0358e-03,-0.255937,2.49281
-3.0355e-03,-0.251563,2.51594
-3.0352e-03,-0.240469,2.49734
-3.0349e-03,-0.24125,2.50766
-3.0346e-03,-0.247969,2.53438
-3.0342e-03,-0.244844,2.52125
-3.0339e-03,-0.239219,2.54016
-3.0336e-03,-0.239531,2.55484
-3.0333e-03,-0.232969,2.53969
-3.0330e-03,-0.226875,2.56078
-3.0326e-03,-0.232344,2.55672
-3.0323e-03,-0.226094,2.56094
-3.0320e-03,-0.235,2.57422
-3.0317e-03,-0.2175,2.59859
-3.0314e-03,-0.209375,2.58656
-3.0310e-03,-0.205781,2.60281
-3.0307e-03,-0.200937,2.60172
-3.0304e-03,-0.215625,2.59391
-3.0301e-03,-0.200313,2.62109
-3.0298e-03,-0.200625,2.62828
-3.0294e-03,-0.196719,2.62219
-3.0291e-03,-0.191094,2.65187
-3.0288e-03,-0.172656,2.63578
-3.0285e-03,-0.184531,2.65234
-3.0282e-03,-0.185469,2.65203
-3.0278e-03,-0.172969,2.6625
-3.0275e-03,-0.173594,2.66859
-3.0272e-03,-0.170313,2.69609
-3.0269e-03,-0.175156,2.67641
-3.0266e-03,-0.168437,2.68172
-3.0262e-03,-0.165156,2.70203
-3.0259e-03,-0.16125,2.69484
-3.0256e-03,-0.169219,2.70719
-3.0253e-03,-0.158594,2.7225
-3.0250e-03,-0.163438,2.69797
-3.0246e-03,-0.168125,2.73094
-3.0243e-03,-0.152344,2.73313
-3.0240e-03,-0.144531,2.73078
-3.0237e-03,-0.153906,2.75359
-3.0234e-03,-0.140469,2.76922
-3.0230e-03,-0.135469,2.7425
-3.0227e-03,-0.148906,2.77172
-3.0224e-03,-0.13625,2.78031
-3.0221e-03,-0.125625,2.76797
-3.0218e-03,-0.121875,2.78953
-3.0214e-03,-0.125156,2.79016
-3.0211e-03,-0.127812,2.80031
-3.0208e-03,-0.12,2.81078
-3.0205e-03,-0.117813,2.81047
-3.0202e-03,-0.113906,2.81016
-3.0198e-03,-0.108281,2.83266
-3.0195e-03,-0.0920312,2.825
-3.0192e-03,-0.09125,2.83047
-3.0189e-03,-0.09,2.85781
-3.0186e-03,-0.095625,2.84281
-3.0182e-03,-0.0939062,2.84031
-3.0179e-03,-0.080625,2.86422
-3.0176e-03,-0.0851563,2.85328
-3.0173e-03,-0.0814062,2.86813
-3.0170e-03,-0.0864063,2.87953
-3.0166e-03,-0.0728125,2.87891
-3.0163e-03,-0.0784375,2.89578
-3.0160e-03,-0.0625,2.90172
-3.0157e-03,-0.0826563,2.90109
-3.0154e-03,-0.06375,2.90344
-3.0150e-03,-0.0692187,2.91922
-3.0147e-03,-0.0632812,2.92016
-3.0144e-03,-0.0704687,2.93953
-3.0141e-03,-0.0617188,2.93266
-3.0138e-03,-0.064375,2.93078
-3.0134e-03,-0.0445313,2.93297
-3.0131e-03,-0.063125,2.96437
-3.0128e-03,-0.04,2.94422
-3.0125e-03,-0.0367188,2.96469
-3.0122e-03,-0.0460938,2.96672
-3.0118e-03,-0.040625,2.97328
-3.0115e-03,-0.0376563,2.98484
-3.0112e-03,-0.0296875,2.98453
-3.0109e-03,-0.0271875,2.99
-3.0106e-03,-0.020625,3.00406
-3.0102e-03,-0.0120313,3.00062
-3.0099e-03,-0.0159375,3.00531
-3.0096e-03,-0.006875,3.02797
-3.0093e-03,-0.0145313,3.01469
-3.0090e-03,-0.00796875,3.02062
-3.0086e-03,-0.009375,3.04859
-3.0083e-03,-0.00140625,3.04266
-3.0080e-03,-0.00015625,3.03719
-3.0077e-03,0.00328125,3.06891
-3.0074e-03,0.000625,3.05031
-3.0070e-03,0.00296875,3.07203
-3.0067e-03,0.0103125,3.07938
-3.0064e-03,0.00703125,3.06203
-3.0061e-03,0.0167188,3.09531
-3.0058e-03,0.0175,3.09609
-3.0054e-03,0.0151562,3.09297
-3.0051e-03,0.0253125,3.11156
-3.0048e-03,0.0351562,3.12531
-3.0045e-03,0.030625,3.11391
-3.0042e-03,0.0246875,3.14156
-3.0038e-03,0.0301562,3.13344
-3.0035e-03,0.014375,3.13125
-3.0032e-03,0.0276563,3.14625
-3.0029e-03,0.0328125,3.14906
-3.0026e-03,0.0404687,3.15187
-3.0022e-03,0.0384375,3.16438
-3.0019e-03,0.043125,3.16375
-3.0016e-03,0.0414062,3.15781
-3.0013e-03,0.0548438,3.19297
-3.0010e-03,0.0589063,3.17656
-3.0006e-03,0.0465625,3.18484
-3.0003e-03,0.0578125,3.20047
-3.0000e-03,0.0675,3.19469
-2.9997e-03,0.0721875,3.20469
-2.9994e-03,0.08,3.22109
-2.9990e-03,0.0729687,3.20578
-2.9987e-03,0.0970312,3.22719
-2.9984e-03,0.0929688,3.23734
-2.9981e-03,0.083125,3.23344
-2.9978e-03,0.0754688,3.24781
-2.9974e-03,0.0865625,3.26266
-2.9971e-03,0.0982813,3.23563
-2.9968e-03,0.105,3.26203
-2.9965e-03,0.107188,3.27969
-2.9962e-03,0.09875,3.25625
-2.9958e-03,0.103906,3.28891
-2.9955e-03,0.13,3.29203
-2.9952e-03,0.115156,3.28234
-2.9949e-03,0.119531,3.30156
-2.9946e-03,0.126875,3.31078
-2.9942e-03,0.124063,3.30484
-2.9939e-03,0.134063,3.33125
-2.9936e-03,0.123281,3.33438
-2.9933e-03,0.125156,3.32125
-2.9930e-03,0.147813,3.34828
-2.9926e-03,0.140156,3.35188
-2.9923e-03,0.142031,3.33672
-2.9920e-03,0.161875,3.35469
-2.9917e-03,0.160469,3.3575
-2.9914e-03,0.153438,3.35141
-2.9910e-03,0.163281,3.37953
-2.9907e-03,0.154844,3.38203
-2.9904e-03,0.171719,3.37344
-2.9901e-03,0.160625,3.40578
-2.9898e-03,0.167969,3.39391
-2.9894e-03,0.161094,3.39891
-2.9891e-03,0.161562,3.41766
-2.9888e-03,0.166719,3.41094
-2.9885e-03,0.165,3.42109
-2.9882e-03,0.172031,3.43422
-2.9878e-03,0.190938,3.41641
-2.9875e-03,0.180781,3.44219
-2.9872e-03,0.1925,3.45891
-2.9869e-03,0.18375,3.44328
-2.9866e-03,0.197969,3.46109
-2.9862e-03,0.200469,3.46859
-2.9859e-03,0.195469,3.46
-2.9856e-03,0.196875,3.48062
-2.9853e-03,0.208437,3.48203
-2.9850e-03,0.212656,3.47828
-2.9846e-03,0.203906,3.49281
-2.9843e-03,0.229219,3.49609
